DB business_event_dict 实际行数: 26

  [PENDING] SALE.ORDER_SUBMITTED         销售订单提交送审  (SALE/CUSTOMER)
  [OK] SALE.ORDER_APPROVED          销售订单审批通过  (SALE/CUSTOMER)
  [PENDING] SALE.ORDER_REJECTED          销售订单审批驳回  (SALE/CUSTOMER)
  [PENDING] SALE.ORDER_SHIPPED           销售出库发货  (SALE/CUSTOMER)
  [OK] SALE.ORDER_RETURNED          销售退货  (SALE/CUSTOMER)
  [OK] JOURNEY.MEMBER_SILENT        ä¼šå‘˜æ²‰é»˜é¢„è­¦(ç³»ç»Ÿåˆæˆ)  (customer/MEMBER)
  [OK] JOURNEY.MEMBER_CHURNED       ä¼šå‘˜æµå¤±åˆ¤å®š(ç³»ç»Ÿåˆæˆ)  (customer/MEMBER)
  [OK] FINANCE.PAYMENT_RECEIVED     客户付款登记  (FINANCE/CUSTOMER)
  [PENDING] FINANCE.DEBT_CHANGED         欠款状态变更  (FINANCE/CUSTOMER)
  [PENDING] FINANCE.CREDIT_EXCEEDED      超出信用额度  (FINANCE/CUSTOMER)
  [PENDING] FINANCE.RECEIVABLE_OVERDUE   应收账款逾期  (FINANCE/CUSTOMER)
  [OK] CUSTOMER.CREATED             客户建档  (CUSTOMER/CUSTOMER)
  [PENDING] CUSTOMER.UPDATED             客户信息变更  (CUSTOMER/CUSTOMER)
  [PENDING] CUSTOMER.LEVEL_CHANGED       客户等级变更  (CUSTOMER/CUSTOMER)
  [OK] CUSTOMER.STATUS_CHANGED      客户停用启用  (CUSTOMER/CUSTOMER)
  [PENDING] CUSTOMER.CONVERTED_TO_MEMBER 客户转为会员  (CUSTOMER/CUSTOMER)
  [PENDING] CASHIER.CHECKOUT_COMPLETED   收银结账完成  (CASHIER/MEMBER)
  [PENDING] CASHIER.REFUNDED             收银退款  (CASHIER/MEMBER)
  [PENDING] CASHIER.FULL_REFUNDED        整单退完  (CASHIER/MEMBER)
  [PENDING] CASHIER.ORDER_HELD           挂单  (CASHIER/MEMBER)
  [PENDING] CASHIER.ORDER_RESUMED        取单  (CASHIER/MEMBER)
  [OK] MEMBER.REGISTERED            会员注册  (MEMBER/MEMBER)
  [OK] MEMBER.RECHARGED             会员充值  (MEMBER/MEMBER)
  [OK] MEMBER.CARD_CONSUMED         会员卡消费  (MEMBER/MEMBER)
  [OK] MEMBER.POINTS_CHANGED        积分增减  (MEMBER/MEMBER)
  [OK] MEMBER.LEVEL_UPGRADED        会员等级升级  (MEMBER/MEMBER)

plugged-in: 12
